title,rating
Amazing Interiors,6.7
American Bully,4.8
American Crime Story,8.4
American Experience,6.8
American Factory,7.4
American Factory: A Conversation with the Obamas,5.2
American Horror Story,8.0
American Masters,7.6
American Psycho,7.6
American Vandal,8.1
American Violence,4.5
Amit Tandon: Family Tandoncies,7.1
Amo,6.7
Amy Schumer: Growing,5.2
Amy Schumer: The Leather Special,2.9
An Act of War,5.1
An Easy Girl,5.6
An Interview with God,5.7
An Upper Egyptian,3.1
Anatomia do Crime,7.8
Anatomy of a Love Seen,4.7
Ancient Extraterrestrials: Aliens and UFOs Before the Dawn of Time,5.8
And Breathe Normally,6.9
And the Oscar Goes To...,7.1
Anelka: Misunderstood,6.4
Ang probinsyano,3.9
Angel 'n' Devil,5.0
Angel's Last Mission: Love,7.7
Angela's Christmas,7.0
Angels of Death,6.3
Angry Indian Goddesses,7.0
Angry Mom,7.6
Anima,7.7
Animal Crackers,5.8
Animal Kingdom,8.2
Animal World,6.5
Anjaan: Special Crimes Unit,7.0
Anjelah Johnson: Not Fancy,5.8
Anne with an E,9.2
Annihilation,6.8
Anon,6.1
Another Life,6.0
Another Miss Oh,7.9
Anthony Jeselnik: Fire in the Maternity Ward,7.1
Anthony Jeselnik: Thoughts and Prayers,7.8
Anthony Joshua: The Road to Klitschko,7.2
Antoine Griezmann: The Making of a Legend,6.5
Any Day Now,7.5
Ao no ekusoshisuto: Kuro no iede,7.0
Apache: The Life of Carlos Tevez,6.6
Apenstreken,5.8
Apostle,6.3
"Aram, Aram",6.5
Arango y Sanint: Ríase el show,4.0
Arashi's Diary: Voyage,7.5
Arbitrage,6.6
Archer,8.1
Archibald's Next Big Thing,7.8
Are You Human Too?,8.1
Argon,7.4
Ari Shaffir: Double Negative,6.8
Armed Girl's Machiavellism,6.6
Arrested Development,7.6
Arrival,7.9
Arrow,8.0
Arsenio Hall: Smart and Classy,6.0
Art of Flight: The Series,8.8
Art of the Game: Ukiyo-e Heroes,8.1
Arthdal Chronicles,8.6
Artifact,8.1
Ascension,7.2
Ash vs Evil Dead,8.4
Ashby,6.4
Ashes of Love,8.5
Ashley Garcia: Genius in Love,8.4
"Ashley Madison: Sex, Lies & Cyber Attacks",5.5
Ask the Doctor,6.5
Ask the StoryBots,9.0
Asktan Kaçilmaz,6.7
Asobi Asobase: Workshop of Fun,7.8
Asperger's Are Us,6.7
Astronomy Club,6.8
At the Devil's Door,4.8
At the Dolphin Bay,7.0
Atari: Game Over,6.7
Athlete A,7.7
Atlantics,6.7
Attack on Titan,8.8
Atypical,8.4
Audrie & Daisy,7.2
Aurora,4.3
Autistic Driving School,5.2
Autohead,5.9
Autumn,3.2
Ava's Possessions,5.6
Avatar: The Last Airbender,8.7
Avengement,6.5
Awake: The Million Dollar Game,5.9
Away,6.8
Axone,7.0
Ayahuasca: Vine of the Soul,6.5
"Ayotzinapa, El paso de la Tortuga",7.5
Azali,5.9
Aziz Ansari Live in Madison Square Garden,6.6
Aziz Ansari: Buried Alive,7.3
Aziz Ansari: Right Now,7.5
B: The Beginning,7.2
BG: Personal Bodyguard,6.7
BNA,7.3
BORDER2 Shokuzai,7.6
Babies,6.9
Babies Behind Bars,6.1
Baby,7.5
Baby Ballroom,7.8
Baby Driver,7.6
Babylon,7.0
Back Street Girls,6.6
Back With the Ex,6.3
Back to School,5.3
Backfire,3.4
Backlash,6.6
Backstabbed,4.8
Bad Blood,7.8
Bad Boy,3.7
Bad Boy Billionaires: India,6.7
Bad Day for the Cut,6.5
Bad Guys,8.5
Bad Papa,7.9
Bad Samaritans,6.7
Bad Seeds,7.3
Bad Trip,6.6
Badla,7.8
Baggage,4.8
Baires,4.2
Baki,6.7
Bakugan: Battle Planet,5.6
Bala,7.4
Balls Out,4.3
Banana Split,6.2
Bangistan,4.6
Bangkok Love Stories: Hey You,7.2
Bangkok Love Stories: Innocence,6.6
Bangkok Love Stories: Objects of Affection,5.4
Bangkok Love Stories: Plead,7.5
Barbie Dreamhouse Adventures,6.7
Barbie Princess Adventure,7.9
Barbie: Dolphin Magic,5.6
Barbie: Life in the Dreamhouse,7.3
Barbra: The Music... The Mem'ries... The Magic!,7.5
Bard of Blood,7.0
Barry,5.8
Basilisk: Ouka Ninpouchou,4.6
Basketball or Nothing,7.4
Bates Motel,8.2
Batman: The Movie,6.5
Battle,6.0
Battle Ground,4.9
Battle Ground 625,7.7
Battle of Britain,7.0
Battlefish,7.2
Bayonet,5.8
Baywatch,5.5
Be Here Now,8.7
Be Melodramatic,8.1
Beasts of No Nation,7.7
Beat Bugs,7.6
Beats,6.4
Beauties of the Night,7.2
Beautiful Sunday,5.7
Beautiful World,8.2
Beauty Inside,7.4
Beauty and the Beast,7.2
Beauty and the Dogs,7.0
Because This Is My First Life,8.2
Becoming,6.8
Becoming Champions,6.8
Bed & Breakfast: Love is a Happy Accident,5.1
Been So Long,5.4
Beethoven Virus,7.5
Before I Wake,6.2
Begin Again,7.4
Behind the Curtain: Todrick Hall,6.7
Being Elmo: A Puppeteer's Journey,7.6
Being Human,7.8
Being Mrs Elliot,6.5
Being Napoleon,5.4
Beirut,6.4
Bella Donna's,5.9
Below Deck,7.2
Below Her Mouth,5.5
Ben Platt Live from Radio City Music Hall,8.4
Beneath the Leaves,4.5
Benji,6.3
Berlin Calling,7.3
Berlin Syndrome,6.3
"Berlin, Berlin",3.5
Berserk,6.9
Berserk: The Golden Age Arc I - The Egg of the King,7.6
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.8
Berserk: The Golden Age Arc III - The Advent,7.9
Bert Kreischer: Hey Big Boy,7.1
Bert Kreischer: Secret Time,7.4
Bert Kreischer: The Machine,7.7
Bert Visscher: Zelden zoiets gezien,6.9
Best Worst Friends,3.8
Best. Worst. Weekend. Ever.,6.3
Betaal,5.3
Bethany Hamilton: Unstoppable,7.3
Better Call Saul,8.9
Better Than Us,7.3
Bettie Page Reveals All,7.1
Betty en NY,7.8
Between,6.7
Between Two Ferns: The Movie,6.1
Bewildered Bolbol,6.4
Beyblade Burst,6.5
Beyond Stranger Things,7.6
Beyond a Reasonable Doubt,5.9
Bhangra Paa Le,6.1
Bhouri,6.8
Big Bear,5.1
"Big Dreams, Small Spaces",8.1
Big Fish & Begonia,7.1
Big Game,5.4
Big Guns,7.7
Big Mouth,8.0
Big Words,6.1
Big in Bollywood,7.7
"Bikram: Yogi, Guru, Predator",6.7
Bill Burr: I'm Sorry You Feel That Way,8.4
Bill Burr: Paper Tiger,8.2
Bill Burr: Walk Your Way Out,7.3
Bill Burr: You People Are All the Same.,8.3
Bill Cosby: 77,4.4
Bill Cosby: Far from Finished,6.8
Bill Hicks: Reflections,6.8
Bill Hicks: Relentless,8.7
Bill Hicks: Revelations,8.6
Bill Hicks: Sane Man,8.5
Bill Nye Saves the World,4.1
Billions,8.4
Biohackers,6.8
Bir Baba Hindu,2.8
Bird Box,6.6
Birders,6.4
Birdman or (The Unexpected Virtue of Ignorance),7.7
Black Book,7.7
Black Clover,8.1
Black Crows,5.8
Black Earth Rising,7.8
Black Heart,6.3
Black Knight,5.8
Black Lagoon,8.0
Black Lightning,7.0
Black Man White Skin,6.8
Black Mirror,7.9
Black Mirror: Bandersnatch,7.2
Black Money Love,7.2
Black Privilege,3.2
Black Sails,8.2
Black Site Delta,3.8
Black Snow,6.2
Black Spot,7.5
Black Summer,6.9
Blackout,6.5
Blade of the Immortal,6.8
Blame!,6.7
Blazing Transfer Students,7.3
Bleach,6.4
Bleach: Burîchi,8.1
Blitz,6.2
Blockbuster,5.5
"Bloed, Zweet & Tranen",7.1
Blood & Water,6.8
Blood Brother,6.4
Blood Cells,7.1
Blood Will Tell,6.0
Bloodline,8.1
Bloodride,6.3
Bloody Chainsaw Girl,4.5
Blown Away,6.9
Blue,7.4
Blue Bloods,7.6
Blue Exorcist,7.8
Blue Gold: American Jeans,6.9
Blue Jasmine,7.3
Blue Jay,7.3
Blue Mountain State,8.3
Blue Mountain State: The Rise of Thadland,5.8
Bo Burnham: Make Happy,8.4
Bo Burnham: what.,8.5
BoJack Horseman,8.4
Bob Saget: That's What I'm Talkin' About,5.2
Bobby Kennedy for President,8.3
Bobby Robson: More Than a Manager,8.2
Bobby Z,5.9
Boca Juniors Confidential,6.4
Bodyguard,8.4
"Bofuri: I Don't Want to Get Hurt, So I'll Max Out My Defense",7.3
Boi,4.9
Bolívar: Una lucha admirable,7.5
Bomb Scared,5.6
Bombairiya,4.5
Bombay Rose,6.4
Bon Bini Holland,5.5
Bon Cop Bad Cop,6.8
Bon Cop Bad Cop 2,6.6
Bonding,7.3
Bongwater,5.5
Booba,7.0
Bookmarks,4.2
Booksmart,7.2
Border Security: America's Front Line,6.9
Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari,7.7
Borderline,7.1
Borderliner,7.0
Bordertown,7.5
Borgen,8.5
Borgia,7.2
Born to Be Blue,6.9
Born to Raise Hell,4.5
Borstal,4.5
Boss,8.1
Boss Wants a Happy Ending,6.1
Bottersnikes & Gumbles,5.1
Bottled Life: Nestle's Business with Water,6.8
Bottom of the World,5.3
Boy Meets Girl,7.1
Boy Missing,6.4
Boyka: Undisputed,7.0
Brad Paisley's Comedy Rodeo,5.5
Brahman Naman,5.6
Brain on Fire,6.6
Brainchild,8.1
Brasslands,7.4
Brave Miss World,7.1
Braxton Family Values,5.9
Brazilian Western,6.6
Bread Barbershop,8.5
BreadCrumbs,3.2
Break Up Club,5.9
